University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of Pretoria,Humanities,2020,1066,88.76,26.75,1983511,3.69
Rhodes University,Law,2016,1823,57.75,28.47,13812468,3.86
Stellenbosch University,Law,2021,742,86.46,27.08,6356087,2.77
Rhodes University,Education,2018,2184,72.7,18.97,13081171,2.59
Stellenbosch University,Education,2016,2503,68.66,9.95,11832070,3.82
University of Johannesburg,Engineering,2018,1193,94.92,25.71,3735255,3.75
Wits University,Law,2018,2290,78.52,24.54,14116661,2.68
Rhodes University,Law,2017,2370,79.97,12.96,16898508,2.68
University of Cape Town,Humanities,2019,1903,53.2,15.66,7562257,2.83
Wits University,Humanities,2018,2172,87.15,14.3,10058123,3.77
University of Pretoria,Humanities,2023,811,56.45,6.58,1169117,3.15
Rhodes University,Education,2015,664,54.26,14.72,1377207,4.0
University of KwaZulu-Natal,Law,2023,1534,53.89,5.6,1334714,2.39
Wits University,Education,2015,2579,79.79,22.02,10683480,2.55
Rhodes University,Education,2017,1662,83.88,29.79,18546653,3.98
Stellenbosch University,Law,2019,2314,69.13,22.3,10706571,3.06
University of Cape Town,Law,2022,1042,71.3,23.51,2488430,3.89
University of Pretoria,Health Science,2018,1532,66.58,24.21,3688751,2.27
Rhodes University,Engineering,2020,2664,59.51,6.79,2803265,2.25
University of KwaZulu-Natal,Education,2022,1318,79.3,19.25,15398371,2.79
Wits University,Engineering,2016,2348,85.2,8.16,14636105,2.81
University of Cape Town,Education,2020,2939,57.12,20.78,17820780,2.29
Stellenbosch University,Engineering,2016,2649,94.87,20.6,14738853,3.79
Wits University,Law,2024,2018,67.06,11.41,11406077,3.27
University of Pretoria,Health Science,2018,872,68.26,25.89,15135278,2.39
University of Pretoria,Engineering,2017,683,89.23,23.95,16188582,3.43
Wits University,Education,2018,1061,93.78,19.9,6826312,3.65
University of Johannesburg,Health Science,2022,2432,77.55,6.6,18660514,3.6
University of KwaZulu-Natal,Law,2023,2287,93.26,5.87,14183689,2.17
University of Cape Town,Humanities,2023,595,56.77,5.11,5525317,2.59
University of Cape Town,Law,2018,960,85.82,24.5,14355832,2.86
University of Johannesburg,Humanities,2018,2370,94.47,24.04,19109684,3.98
University of Cape Town,Health Science,2022,2861,85.1,12.18,9481862,2.03
University of KwaZulu-Natal,Engineering,2022,2761,63.84,24.02,19440233,2.33
Rhodes University,Humanities,2024,946,52.85,12.06,1408769,3.3
University of KwaZulu-Natal,Engineering,2022,1002,73.65,10.42,3751367,3.15
University of Cape Town,Humanities,2015,2549,62.5,6.77,13604801,2.88
University of KwaZulu-Natal,Engineering,2016,2641,80.63,19.86,7706387,2.3
University of Cape Town,Engineering,2018,2509,83.12,23.63,11435741,3.59
University of KwaZulu-Natal,Health Science,2015,1849,50.31,12.15,17019969,3.9
Wits University,Humanities,2016,913,94.47,14.09,1568238,3.16
University of Johannesburg,Law,2022,2316,70.53,23.62,5620361,2.36
University of Johannesburg,Education,2021,508,69.32,10.16,7264044,2.19
University of Cape Town,Education,2023,2281,68.64,25.04,8805199,3.58
Rhodes University,Humanities,2021,2596,91.66,22.61,2275502,3.99
University of KwaZulu-Natal,Engineering,2024,2465,59.25,20.38,18837295,2.86
Stellenbosch University,Law,2023,2367,88.62,7.26,2984098,3.52
University of Pretoria,Humanities,2019,1313,73.1,26.5,17832202,2.61
University of Pretoria,Health Science,2015,1513,70.02,11.0,7796189,2.94
University of Cape Town,Engineering,2021,2174,93.35,11.47,17877648,3.29
University of Johannesburg,Education,2024,461,67.62,14.51,19230779,2.27
Stellenbosch University,Engineering,2019,2090,80.76,12.1,4546919,2.92
Stellenbosch University,Humanities,2015,2908,51.87,26.58,1878381,3.85
University of Pretoria,Humanities,2020,1677,69.06,20.25,5491960,3.91
University of Cape Town,Health Science,2018,2967,89.33,17.76,3451663,2.29
Stellenbosch University,Education,2017,1407,77.15,13.36,15272234,3.91
University of Johannesburg,Law,2022,1936,82.35,21.22,15613607,2.7
University of Cape Town,Health Science,2022,927,94.89,11.61,16624327,2.05
University of KwaZulu-Natal,Humanities,2019,1503,61.25,28.0,18773134,3.14
Wits University,Law,2022,681,61.03,29.15,8128998,2.31
Rhodes University,Law,2023,1280,57.31,10.63,1515566,3.65
University of Pretoria,Humanities,2024,2189,76.17,29.44,8007790,3.97
Wits University,Engineering,2016,122,68.65,12.94,7841886,3.48
University of Johannesburg,Law,2023,2598,92.6,15.48,13168993,3.83
Stellenbosch University,Engineering,2020,1222,80.75,5.35,7832169,2.31
Rhodes University,Law,2020,280,58.83,20.15,13872293,3.83
Rhodes University,Humanities,2024,1749,72.37,18.21,18134317,2.52
Wits University,Health Science,2016,876,68.91,23.8,4243966,2.05
University of KwaZulu-Natal,Law,2023,2412,56.6,12.59,16173981,2.34
Wits University,Engineering,2021,126,74.63,20.28,16440899,3.06
University of Cape Town,Health Science,2015,2602,84.75,29.67,3143625,2.87
Wits University,Humanities,2016,897,72.71,28.96,6266084,3.61
Wits University,Health Science,2022,315,88.86,10.36,15789288,3.73
Wits University,Humanities,2019,2697,93.29,10.62,13214407,2.82
University of KwaZulu-Natal,Education,2020,657,90.16,6.2,15091106,2.24
University of Cape Town,Law,2017,1044,62.13,19.48,15563320,2.94
University of Johannesburg,Education,2023,1224,68.83,11.69,964113,2.67
Rhodes University,Humanities,2016,1572,71.23,12.6,4793211,3.63
University of Pretoria,Law,2024,222,93.4,21.42,14465408,2.17
Rhodes University,Health Science,2019,2918,94.17,13.16,14169177,3.63
Rhodes University,Law,2023,2405,67.37,9.91,10591697,3.98
University of Pretoria,Engineering,2016,1204,72.87,14.7,6969282,3.58
University of Cape Town,Humanities,2020,1498,88.14,29.07,9477866,3.51
University of Johannesburg,Engineering,2024,2578,80.3,14.79,2052925,2.58
University of Johannesburg,Engineering,2022,1190,52.52,17.56,4081620,3.87
Wits University,Law,2015,2776,68.01,6.43,8586270,2.13
University of Cape Town,Law,2024,952,81.36,18.74,16327972,3.6
Wits University,Humanities,2020,1861,82.85,28.14,6957081,2.44
Stellenbosch University,Law,2015,713,92.28,18.72,6325855,2.26
Wits University,Health Science,2024,1377,62.76,27.05,8710966,2.29
University of Cape Town,Health Science,2018,2113,80.81,7.94,17323238,3.71
Rhodes University,Law,2016,401,72.4,27.87,17520021,3.98
University of Johannesburg,Humanities,2019,2485,82.32,17.65,17882350,3.39
Rhodes University,Engineering,2016,1246,94.29,8.17,16271755,2.69
University of Pretoria,Education,2023,1085,75.54,26.69,18598262,2.1
University of Johannesburg,Education,2022,2094,84.27,14.98,14237340,3.03
University of KwaZulu-Natal,Education,2021,1154,63.28,7.86,17477117,2.44
Stellenbosch University,Education,2021,2436,81.1,22.4,9852067,3.08
University of Pretoria,Law,2018,1720,66.73,24.65,9606230,2.21
Stellenbosch University,Humanities,2019,2131,65.09,13.57,2114285,2.1
Rhodes University,Education,2019,1727,68.57,15.31,2783633,2.97
University of Cape Town,Education,2022,739,88.49,5.03,10287717,3.03
University of Johannesburg,Health Science,2024,2966,80.56,23.97,6033117,3.71
University of Johannesburg,Engineering,2021,1251,87.7,21.69,17155628,2.37
University of Johannesburg,Engineering,2023,1498,84.2,22.67,8998916,3.44
University of Pretoria,Humanities,2018,1143,57.27,28.82,11773382,3.12
Rhodes University,Health Science,2022,1599,74.42,5.26,2416414,3.53
University of KwaZulu-Natal,Law,2021,174,70.87,10.58,8950116,3.82
University of Pretoria,Education,2018,2252,78.05,17.7,8129848,3.07
Stellenbosch University,Education,2021,2513,58.29,15.8,1874340,3.1
Stellenbosch University,Health Science,2020,2434,82.22,29.96,3830201,3.33
University of Cape Town,Law,2018,1670,93.38,23.32,2703180,3.41
Stellenbosch University,Law,2017,501,58.1,27.17,6489823,2.81
University of Pretoria,Humanities,2023,2813,56.14,23.88,15512730,3.68
Wits University,Engineering,2023,2759,87.33,23.35,14574037,2.31
Rhodes University,Law,2018,2314,68.45,26.69,5562758,3.08
University of Johannesburg,Engineering,2023,2663,87.88,15.62,5115231,3.07
Rhodes University,Law,2015,1311,74.55,14.81,17633488,4.0
University of KwaZulu-Natal,Law,2017,534,61.21,6.48,9099328,3.99
Wits University,Engineering,2021,2222,67.71,19.96,10814405,2.64
University of Pretoria,Health Science,2023,1945,90.99,12.63,16372645,3.63
Stellenbosch University,Engineering,2016,819,76.07,18.35,3275988,2.88
University of Pretoria,Humanities,2023,907,79.92,9.58,13534742,3.79
University of KwaZulu-Natal,Humanities,2024,2328,78.36,26.84,12216282,3.14
University of KwaZulu-Natal,Education,2016,2628,94.63,11.8,12385340,3.83
Stellenbosch University,Engineering,2024,2971,94.02,11.78,3805453,2.95
University of KwaZulu-Natal,Engineering,2023,2752,91.16,24.54,18934041,3.12
Rhodes University,Engineering,2016,863,80.97,15.14,9241026,3.15
University of Pretoria,Humanities,2024,2156,62.12,10.22,694419,3.67
University of Johannesburg,Law,2021,1674,76.6,6.8,7621608,3.28
Wits University,Humanities,2016,315,60.05,20.92,14458883,2.55
Rhodes University,Education,2015,1131,89.05,12.25,15809356,3.81
University of Johannesburg,Education,2023,801,54.89,9.94,16835730,3.99
University of Johannesburg,Health Science,2023,2859,61.44,7.88,14303507,3.66
University of KwaZulu-Natal,Health Science,2015,2521,78.14,13.74,15311430,2.49
University of KwaZulu-Natal,Education,2024,1300,52.36,9.66,7273068,2.97
Wits University,Education,2021,1755,53.6,19.6,7209268,3.24
University of Johannesburg,Education,2022,448,76.3,12.55,8502042,3.96
University of Johannesburg,Humanities,2020,1312,85.62,28.41,19929982,3.31
Wits University,Engineering,2022,590,75.05,23.07,10660889,2.51
University of KwaZulu-Natal,Humanities,2017,2488,89.11,8.14,5613577,2.3
University of Johannesburg,Education,2017,1123,61.42,28.85,4015463,3.43
Wits University,Education,2024,2927,50.01,6.03,16057525,2.38
University of KwaZulu-Natal,Education,2019,1737,53.58,25.52,3842213,3.78
University of Johannesburg,Engineering,2019,374,73.21,8.49,18884797,3.04
Wits University,Health Science,2017,1748,82.69,29.8,18145275,3.0
Wits University,Education,2021,2429,64.14,16.11,10434108,2.44
University of Cape Town,Health Science,2015,2180,75.52,29.39,12538243,2.47
University of Johannesburg,Engineering,2016,976,64.34,14.68,18648639,3.31
Wits University,Health Science,2016,2653,69.89,17.2,15056278,3.61
Rhodes University,Health Science,2015,596,74.4,7.15,10768551,3.22
Rhodes University,Education,2022,1387,88.74,29.33,9601342,2.85
University of Pretoria,Engineering,2017,2086,67.78,13.41,5766191,2.21
University of Cape Town,Health Science,2017,2363,58.98,25.9,12241846,2.44
University of Pretoria,Law,2022,773,60.39,15.55,3938021,3.93
Rhodes University,Education,2016,911,79.05,8.06,18479127,2.11
University of Pretoria,Education,2020,2655,58.82,19.56,1865676,2.18
Rhodes University,Education,2017,2641,75.08,15.48,19283524,2.11
University of Johannesburg,Education,2021,740,78.89,16.83,3687819,3.84
Stellenbosch University,Education,2024,715,67.45,23.45,11248427,2.86
University of KwaZulu-Natal,Engineering,2021,2305,92.5,14.22,17574503,3.06
University of Johannesburg,Law,2019,2536,69.92,9.6,12370804,2.85
University of Johannesburg,Engineering,2023,1384,94.82,7.0,12948035,2.31
University of Pretoria,Engineering,2017,1463,84.53,17.58,19769429,2.52
Wits University,Engineering,2024,1402,62.7,15.61,17952530,3.52
University of Johannesburg,Education,2018,847,66.09,14.62,3812466,3.78
University of KwaZulu-Natal,Engineering,2016,1559,85.24,8.45,3601224,3.27
University of Cape Town,Health Science,2015,1614,66.0,26.78,11684346,3.81
Stellenbosch University,Education,2016,607,59.02,11.36,3047115,3.55
University of Pretoria,Engineering,2017,363,79.64,17.12,10442480,2.66
Wits University,Education,2020,1836,70.14,27.01,6010293,3.32
University of KwaZulu-Natal,Education,2023,931,50.53,12.14,16434881,2.27
Wits University,Law,2024,2596,55.83,9.44,7593670,3.92
University of KwaZulu-Natal,Education,2018,2776,59.82,15.3,11497811,2.78
University of KwaZulu-Natal,Humanities,2017,826,89.46,7.62,10631857,2.93
University of Johannesburg,Law,2017,2005,81.59,11.97,3632630,3.42
University of Pretoria,Health Science,2020,404,85.08,15.19,18196362,3.06
Rhodes University,Health Science,2016,1640,88.3,28.46,13426590,3.6
University of Johannesburg,Education,2023,962,70.73,6.17,4818005,3.25
Wits University,Humanities,2018,2948,58.68,20.13,7918468,3.71
University of Cape Town,Health Science,2020,298,78.51,17.75,18188335,2.62
University of Johannesburg,Health Science,2020,2588,71.81,24.03,11976640,2.22
Stellenbosch University,Humanities,2017,2446,65.47,17.32,9063418,3.1
University of KwaZulu-Natal,Law,2018,2377,56.97,8.87,8625426,2.85
University of KwaZulu-Natal,Humanities,2018,2018,64.79,13.6,16230789,2.97
University of Pretoria,Engineering,2024,853,83.71,20.74,681964,2.64
Wits University,Law,2020,2762,65.12,6.93,10539548,2.84
University of Johannesburg,Education,2020,1919,88.05,5.42,15361784,3.94
Wits University,Education,2015,1979,91.62,9.85,13828471,2.53
University of Pretoria,Engineering,2019,1117,63.27,14.32,9930672,2.02
University of KwaZulu-Natal,Humanities,2024,2962,81.3,18.15,6758179,3.64
University of Johannesburg,Humanities,2021,1261,82.32,6.69,7507387,2.51
Stellenbosch University,Engineering,2022,2498,90.13,7.3,14507087,2.81
Stellenbosch University,Humanities,2019,2417,68.46,25.33,9979973,2.4
Stellenbosch University,Engineering,2015,1263,70.77,16.96,5048184,2.94
University of Johannesburg,Health Science,2017,1256,83.84,9.33,10696690,3.66
University of Cape Town,Health Science,2023,1348,63.25,21.11,7226298,3.91
University of Johannesburg,Humanities,2015,635,91.55,24.92,5786478,2.04
Rhodes University,Education,2018,2395,58.14,13.39,1904801,3.01
University of Cape Town,Law,2015,1965,79.95,5.1,3802101,3.9
University of Pretoria,Engineering,2019,2777,92.74,16.41,2065910,3.2
University of KwaZulu-Natal,Health Science,2015,2570,61.24,21.89,1161319,2.29
Wits University,Education,2016,2281,53.79,12.06,3951526,3.5
Rhodes University,Law,2018,2402,86.87,12.1,4925749,2.46
University of Johannesburg,Education,2017,568,73.47,12.46,19644352,2.42
University of KwaZulu-Natal,Education,2024,2349,81.82,7.89,13038949,3.45
Rhodes University,Health Science,2022,488,59.21,26.67,8284435,2.61
University of Pretoria,Education,2022,2024,60.99,26.4,4966846,2.9
Wits University,Engineering,2017,2706,72.76,14.97,17041975,3.9
Stellenbosch University,Engineering,2020,1466,86.73,19.96,15880134,3.65
University of KwaZulu-Natal,Humanities,2018,521,86.61,8.05,17753365,3.2
University of KwaZulu-Natal,Humanities,2016,2555,61.16,10.22,4050233,3.05
University of Johannesburg,Education,2016,341,94.63,13.7,3631260,3.29
Rhodes University,Humanities,2018,1858,58.14,27.86,17661882,3.16
Wits University,Health Science,2015,539,62.07,8.76,17904933,3.36
University of KwaZulu-Natal,Humanities,2018,952,93.81,23.2,8008453,3.48
University of Johannesburg,Law,2020,1581,69.95,7.41,1063837,3.54
University of Johannesburg,Health Science,2015,501,56.44,9.51,7959168,2.16
University of KwaZulu-Natal,Education,2024,599,67.3,5.04,18100913,2.74
Rhodes University,Law,2023,601,68.95,19.6,12250125,3.59
Wits University,Law,2021,1916,82.57,29.78,873323,3.5
University of Cape Town,Health Science,2018,264,94.71,7.0,1802327,2.35
University of Pretoria,Humanities,2015,1447,78.0,27.94,16239845,3.38
University of Pretoria,Law,2019,1401,87.31,5.98,1739785,2.16
Wits University,Health Science,2021,1168,61.64,29.66,3309443,3.31
Stellenbosch University,Health Science,2021,1032,90.25,18.12,8948355,2.96
Rhodes University,Health Science,2019,1431,73.2,9.23,13155779,3.67
Wits University,Humanities,2024,397,53.52,16.45,5321946,3.48
Stellenbosch University,Law,2018,607,55.83,25.06,19328497,3.02
University of Cape Town,Engineering,2023,2935,60.84,19.29,14507970,3.04
Stellenbosch University,Education,2019,793,89.78,25.98,7702928,2.36
Stellenbosch University,Humanities,2023,2533,82.3,14.69,3658296,3.25
University of KwaZulu-Natal,Health Science,2020,1251,63.68,10.64,6593534,3.17
University of Cape Town,Humanities,2016,2149,93.83,14.98,19336139,2.34
University of Cape Town,Humanities,2023,560,67.18,6.25,3170659,2.0
University of Cape Town,Engineering,2020,491,89.91,14.46,15492731,2.46
University of Cape Town,Health Science,2021,2390,61.39,24.16,17946601,2.65
Stellenbosch University,Law,2023,1376,93.06,14.86,13430190,2.32
University of KwaZulu-Natal,Education,2024,2715,64.43,14.75,10269004,3.85
University of Pretoria,Health Science,2024,1628,64.91,10.84,15902525,2.19
University of Johannesburg,Education,2015,313,79.02,13.43,1038264,3.64
University of Cape Town,Engineering,2017,2258,79.15,22.6,2744600,3.67
University of Pretoria,Humanities,2015,1599,62.12,8.09,18469701,2.96
Stellenbosch University,Engineering,2016,1974,82.11,20.34,11119094,3.27
University of Johannesburg,Education,2021,645,76.76,13.47,7184974,3.41
Stellenbosch University,Humanities,2024,1532,61.97,14.43,15525979,3.49
University of Pretoria,Law,2015,2597,73.9,16.06,1302999,2.27
University of Johannesburg,Education,2023,724,75.26,25.83,5576236,3.14
Wits University,Humanities,2023,1898,57.48,15.25,2997474,3.0
University of Johannesburg,Law,2023,1927,71.4,13.46,15151837,3.78
University of KwaZulu-Natal,Health Science,2017,1090,64.43,26.41,3177148,3.65
University of Cape Town,Engineering,2019,1310,75.78,10.39,737950,3.68
Rhodes University,Health Science,2023,219,58.43,17.85,2584254,3.66
University of Johannesburg,Humanities,2024,995,62.5,21.88,4731764,3.14
University of Cape Town,Education,2024,2445,72.04,5.55,1664778,2.07
University of Johannesburg,Law,2021,1492,64.34,19.64,7780969,2.53
